N,PROFILE,FOLLOWERS,POSTS,Platform
12,Kim Kardashian ,73264301,35699,Twitter
13,Selena Gomez ,66143411,5429,Twitter
14,CNN Breaking News ,63606552,78179,Twitter
15,Justin Timberlake ,63088413,4365,Twitter
16,Twitter ,62416599,15015,Twitter
17,NASA ,60698510,68350,Twitter
18,Bill Gates ,60153943,4003,Twitter
19,Neymar Jr ,57484730,42222,Twitter
20,Britney Spears ,55869666,5636,Twitter
21,Demi Lovato ,54190632,17802,Twitter
22,The New York Times ,53825679,480222,Twitter
23,Shakira ,53235721,7908,Twitter
24,LeBron James ,51947180,8571,Twitter
25,Fallon.eth ,51337983,14172,Twitter
26,BBC Breaking News ,50664033,38173,Twitter
27,PMO India ,49814762,32546,Twitter
28,Virat Kohli ,49308402,2655,Twitter
29,Amitabh Bachchan ,47764001,69352,Twitter
30,<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8> ,46979565,12895,Twitter
31,Miley Cyrus ,46816418,12116,Twitter
32,Akshay Kumar ,45132749,41372,Twitter
33,Salman Khan ,44236663,43151,Twitter
34,Real Madrid C.F. ,43764644,83921,Twitter
35,Bruno Mars ,43294761,4957,Twitter
36,Oprah Winfrey ,43289835,13580,Twitter
37,FC Barcelona ,43089932,125678,Twitter
38,Shah Rukh Khan ,42638106,58295,Twitter
39,Niall Horan ,41256634,18359,Twitter
40,ESPN ,41229434,131699,Twitter
41,BTS_official ,40593716,10346,Twitter
42,Kylie Jenner ,40175615,14275,Twitter
43,Drizzy ,39703326,1805,Twitter
44,Harry Styles. ,38100188,5650,Twitter
45,BBC News (World) ,37706985,349709,Twitter
46,Sachin Tendulkar ,37631088,4720,Twitter
47,Kevin Hart ,37470813,41859,Twitter
48,Wiz Khalifa ,36666230,50423,Twitter
49,Louis Tomlinson ,36040239,7634,Twitter
50,Lil Wayne WEEZY F ,35027433,2498,Twitter
51,Joe Biden ,34912026,8371,Twitter
52,Liam ,34477634,11685,Twitter
53,Premier League ,34315514,140809,Twitter
54,Instagram ,33915351,15094,Twitter
55,Kendall ,32357505,9657,Twitter
56,Manchester United ,32211336,75684,Twitter
57,Chris Brown ,32198251,4646,Twitter
58,Hrithik Roshan ,31886135,6035,Twitter
59,P!nk ,31666168,8214,Twitter
60,Hillary Clinton ,31615951,13548,Twitter
61,One Direction ,31142763,9754,Twitter
62,zayn ,31040206,3690,Twitter
63,ye ,30823235,1909,Twitter
64,Amit Shah ,30381411,17092,Twitter
65,Khloé ,30279252,67561,Twitter
66,Alicia Keys ,30110837,10867,Twitter
67,Kaka ,29383091,5298,Twitter
68,Emma Watson ,28658991,1853,Twitter
69,Conan O'Brien ,28581073,5211,Twitter
70,National Geographic ,28016531,67046,Twitter
71,PRIYANKA ,27790361,22254,Twitter
72,Adele ,27647371,368,Twitter
73,Deepika Padukone ,27438545,665,Twitter
74,The Economist ,26853411,314249,Twitter
75,Shawn Mendes ,26753615,15465,Twitter
76,Kourtney Kardashian ,26740551,14385,Twitter
77,Google ,26422157,164650,Twitter
78,PlayStation ,26347317,40926,Twitter
79,BIGHIT MUSIC ,26166689,8513,Twitter
80,Arvind Kejriwal ,26014305,33104,Twitter
81,Nicki Minaj ,25647776,43401,Twitter
82,Andrés Iniesta ,25484080,3343,Twitter
83,Reuters ,25458860,892566,Twitter
84,President Biden ,24387765,3691,Twitter
85,SpaceX ,24206586,6050,Twitter
86,A.R.Rahman ,24192262,6570,Twitter
87,Coldplay ,23602810,9322,Twitter
88,Anushka Sharma ,23161825,4702,Twitter
89,Virender Sehwag ,22917667,12244,Twitter
90,Marshall Mathers ,22766501,1187,Twitter
91,Fox News ,22215023,486592,Twitter
92,Michelle Obama ,22006755,1973,Twitter
93,Mariah Carey ,21819632,10671,Twitter
94,netflixbrasil ,21783674,73111,Twitter
95,Chelsea FC ,21692707,110222,Twitter
96,Alia Bhatt ,21562782,5575,Twitter
97,Rahul Gandhi ,21305498,6298,Twitter
98,Zendaya ,21154455,58368,Twitter
99,Ronaldinho ,20956217,6106,Twitter
100,Rohit Sharma ,20765073,2572,Twitter
1,T-Series,2.22E+08,17306,YouTube
2,Cocomelon - Nursery Rhymes,1.40E+08,786,YouTube
3,SET India,1.39E+08,91157,YouTube
4,PewDiePie,1.11E+08,4498,YouTube
5,MrBeast,1.01E+08,726,YouTube
6,<U+273F> Kids Diana Show,99600000,1008,YouTube
7,Like Nastya,99100000,701,YouTube
8,WWE,90100000,63027,YouTube
9,Zee Music Company,86600000,6569,YouTube
10,Vlad and Niki,84900000,472,YouTube
11,5-Minute Crafts,77100000,5575,YouTube
12,BLACKPINK,76100000,397,YouTube
13,Goldmines,73900000,3933,YouTube
14,Sony SAB,70500000,56189,YouTube
15,BANGTANTV,69900000,1787,YouTube
16,Justin Bieber,69700000,247,YouTube
17,HYBE LABELS,67800000,970,YouTube
18,Canal KondZilla,65900000,2312,YouTube
19,Zee TV,6.30E+07,60751,YouTube
20,Shemaroo Filmi Gaane,61300000,7873,YouTube
21,Pinkfong Baby Shark - Kids' Songs & Stories,59300000,2371,YouTube
22,Dude Perfect,58100000,297,YouTube
23,ChuChu TV Nursery Rhymes & Kids Songs,57700000,506,YouTube
24,Movieclips,57500000,39182,YouTube
25,Marshmello,55700000,401,YouTube
26,Colors TV,55100000,87220,YouTube
27,Wave Music,53400000,18617,YouTube
28,EminemMusic,5.30E+07,140,YouTube
29,Aaj Tak,52800000,195974,YouTube
30,Tips Official,52700000,3606,YouTube
31,Sony Music India,52400000,3179,YouTube
32,T-Series Bhakti Sagar,52400000,23856,YouTube
33,Ed Sheeran,52200000,252,YouTube
34,Ariana Grande,51600000,146,YouTube
35,LooLoo Kids - Nursery Rhymes and Children's Songs,49700000,552,YouTube
36,YRF,47500000,3286,YouTube
